"Downloaded on SAT, 10 SEP 2016 08:05 +0200 from ILOSTAT",,,,,,,,,,
,,,,,,,,,,
Dataset:,Annual indicators,,,,,,,,,
Indicator:,Employment by sex and weekly hours actually worked,,,,,,,,,
Description:," The employed comprise all persons of working age who, during a specified brief period, were in one of the following categories: a) paid employment (whether at work or with a job but not at work); or b) self-employment (whether at work or with an enterprise but not at work). Data are disaggregated by weekly hours actually worked, on the basis of the mean number of hours of work per week, and with reference to hours worked in all jobs of employed persons and in all types of working time arrangements (e.g. full-time and part-time). Hours actually worked include (a) &quot;direct hours&quot; or the time spent carrying out the tasks and duties of a job, (b) &quot;related hours&quot;, or the time spent maintaining, facilitating or enhancing productive activities (c) &quot;down time&quot;, or time when a person in a job cannot work due to machinery or process breakdown, accident, lack of supplies or power or Internet access and (d) &quot;resting time&quot;, or time spent in short periods of rest, relief or refreshment, including tea, coffee or prayer breaks, generally practised by custom or contract according to established norms and/or national circumstances. Hours actually worked excludes time not worked during activities such as: (a) Annual leave, public holidays, sick leave, parental leave or maternity/paternity leave, other leave for personal or family reasons or civic duty, (b) Commuting time between work and home when no productive activity for the job is performed; for paid employment, even when paid by the employer; (c) Time spent in certain educational activities; for paid employment, even when authorized, paid or provided by the employer; (d) Longer breaks distinguished from short resting time when no productive activity is performed (such as meal breaks or natural repose during long trips); for paid employment, even when paid by the employer.",,,,,,,,,
,,,,,,,,,,
Country,Sex,Hour bands,Source,Series footnotes,2015,,,,,
Italy,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,8777.9,,,,,
Italy,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,2210.8,,,,,
Italy,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,302.9,,,,,
Japan,Total (Sex),Total (Hour bands),LFS - Labour force survey ,,63760,,,,,
Japan,Total (Sex),No hours actually worked (Hour bands),LFS - Labour force survey ,,1430,,,,,
Japan,Total (Sex),01-14 (Hour bands),LFS - Labour force survey ,,4300,,,,,
Japan,Total (Sex),15-29 (Hour bands),LFS - Labour force survey ,,9750,,,,,
Japan,Total (Sex),30-34 (Hour bands),LFS - Labour force survey ,,5360,,,,,
Japan,Total (Sex),35-39 (Hour bands),LFS - Labour force survey ,,4740,,,,,
Japan,Total (Sex),40-48 (Hour bands),LFS - Labour force survey ,,24360,,,,,
Japan,Total (Sex),49+ (Hour bands),LFS - Labour force survey ,,13290,,,,,
Japan,Total (Sex),Not elsewhere classified (Hour bands),LFS - Labour force survey ,,530,,,,,
"Korea, Republic of",Total (Sex),Total (Hour bands),LFS - Economically Active Population Survey,,25936.3,,,,,
"Korea, Republic of",Total (Sex),No hours actually worked (Hour bands),LFS - Economically Active Population Survey,,403.2,,,,,
"Korea, Republic of",Total (Sex),01-14 (Hour bands),LFS - Economically Active Population Survey,,870.3,,,,,
"Korea, Republic of",Total (Sex),15-29 (Hour bands),LFS - Economically Active Population Survey,,1847.9,,,,,
"Korea, Republic of",Total (Sex),30-34 (Hour bands),LFS - Economically Active Population Survey,,1055.7,,,,,
"Korea, Republic of",Total (Sex),35-39 (Hour bands),LFS - Economically Active Population Survey,,1328.2,,,,,
"Korea, Republic of",Total (Sex),40-48 (Hour bands),LFS - Economically Active Population Survey,,12125.9,,,,,
"Korea, Republic of",Total (Sex),49+ (Hour bands),LFS - Economically Active Population Survey,,8305,,,,,
Latvia,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,896.1,,,,,
Latvia,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,61.9,,,,,
Latvia,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,14.2,,,,,
Latvia,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,66.6,,,,,
Latvia,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,36.6,,,,,
Latvia,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,11.5,,,,,
Latvia,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,666.5,,,,,
Latvia,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,31.2,,,,,
Latvia,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,7.6,,,,,
Lithuania,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,1334.9,,,,,
Lithuania,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,84.3,,,,,
Lithuania,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,20.8,,,,,
Lithuania,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,101.7,,,,,
Lithuania,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,73.6,,,,,
Lithuania,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,40.9,,,,,
Lithuania,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,979.8,,,,,
Lithuania,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,33.8,,,,,
Luxembourg,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,[1],257.5,,,,,
Luxembourg,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,[1],24.7,,,,,
Luxembourg,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,[1],12.3,,,,,
Luxembourg,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,[1],29.5,,,,,
Luxembourg,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,[1],15.6,,,,,
Luxembourg,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,[1],9.8,,,,,
Luxembourg,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,[1],135.5,,,,,
Luxembourg,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,[1],25.8,,,,,
Luxembourg,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,[1],4.3,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,706,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,18.4,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,4.5,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,25.8,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,27.3,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,5.3,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,541.7,,,,,
"Macedonia, the former Yugoslav Republic of",Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,83,,,,,
Malaysia,Total (Sex),Total (Hour bands),LFS - Labour Force Survey ,,14.1,,,,,
Malaysia,Total (Sex),No hours actually worked (Hour bands),LFS - Labour Force Survey ,,0.2,,,,,
Malaysia,Total (Sex),01-14 (Hour bands),LFS - Labour Force Survey ,,0.1,,,,,
Malaysia,Total (Sex),15-29 (Hour bands),LFS - Labour Force Survey ,,0.5,,,,,
Malaysia,Total (Sex),30-34 (Hour bands),LFS - Labour Force Survey ,,1.1,,,,,
Malaysia,Total (Sex),35-39 (Hour bands),LFS - Labour Force Survey ,,0.8,,,,,
Malaysia,Total (Sex),40-48 (Hour bands),LFS - Labour Force Survey ,,8.4,,,,,
Malaysia,Total (Sex),49+ (Hour bands),LFS - Labour Force Survey ,,3,,,,,
Malta,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,185.9,,,,,
Malta,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,10.5,,,,,
Malta,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,5.3,,,,,
Malta,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,22.7,,,,,
Malta,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,31.6,,,,,
Malta,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,4.1,,,,,
Malta,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,95.4,,,,,
Malta,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,16.3,,,,,
Mexico,Total (Sex),Total (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,50305.6,,,,,
Mexico,Total (Sex),No hours actually worked (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,1201.4,,,,,
Mexico,Total (Sex),01-14 (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,3321.3,,,,,
Mexico,Total (Sex),15-29 (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,6627.2,,,,,
Mexico,Total (Sex),30-34 (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,2878,,,,,
Mexico,Total (Sex),35-39 (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,3047.6,,,,,
Mexico,Total (Sex),40-48 (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,19144.4,,,,,
Mexico,Total (Sex),49+ (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,13761.2,,,,,
Mexico,Total (Sex),Not elsewhere classified (Hour bands),LFS - Encuesta Nacional de Ocupaci?n y Empleo,,324.4,,,,,
"Moldova, Republic of",Total (Sex),Total (Hour bands),LFS - Labour force survey,,1203.6,,,,,
"Moldova, Republic of",Total (Sex),No hours actually worked (Hour bands),LFS - Labour force survey,,33.5,,,,,
"Moldova, Republic of",Total (Sex),01-14 (Hour bands),LFS - Labour force survey,,19.1,,,,,
"Moldova, Republic of",Total (Sex),15-29 (Hour bands),LFS - Labour force survey,,220.3,,,,,
"Moldova, Republic of",Total (Sex),30-34 (Hour bands),LFS - Labour force survey,,121.5,,,,,
"Moldova, Republic of",Total (Sex),35-39 (Hour bands),LFS - Labour force survey,,103.2,,,,,
"Moldova, Republic of",Total (Sex),40-48 (Hour bands),LFS - Labour force survey,,614.1,,,,,
"Moldova, Republic of",Total (Sex),49+ (Hour bands),LFS - Labour force survey,,92,,,,,
Mongolia,Total (Sex),Total (Hour bands),LFS - Labour force survey,,1151.2,,,,,
Mongolia,Total (Sex),No hours actually worked (Hour bands),LFS - Labour force survey,,86.8,,,,,
Mongolia,Total (Sex),01-14 (Hour bands),LFS - Labour force survey,,11,,,,,
Mongolia,Total (Sex),15-29 (Hour bands),LFS - Labour force survey,,54.2,,,,,
Mongolia,Total (Sex),30-34 (Hour bands),LFS - Labour force survey,,22.9,,,,,
Mongolia,Total (Sex),35-39 (Hour bands),LFS - Labour force survey,,47.2,,,,,
Mongolia,Total (Sex),40-48 (Hour bands),LFS - Labour force survey,,485.6,,,,,
Mongolia,Total (Sex),49+ (Hour bands),LFS - Labour force survey,,443.6,,,,,
Montenegro,Total (Sex),Total (Hour bands),LFS - Labour force survey,,221.7,,,,,
Montenegro,Total (Sex),No hours actually worked (Hour bands),LFS - Labour force survey,,7.6,,,,,
Montenegro,Total (Sex),01-14 (Hour bands),LFS - Labour force survey,,3.2,,,,,
Montenegro,Total (Sex),15-29 (Hour bands),LFS - Labour force survey,,10.2,,,,,
Montenegro,Total (Sex),30-34 (Hour bands),LFS - Labour force survey,,7.6,,,,,
Montenegro,Total (Sex),35-39 (Hour bands),LFS - Labour force survey,,2.4,,,,,
Montenegro,Total (Sex),40-48 (Hour bands),LFS - Labour force survey,,163.9,,,,,
Montenegro,Total (Sex),49+ (Hour bands),LFS - Labour force survey,,26.9,,,,,
Netherlands,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,8318.7,,,,,
Netherlands,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,999,,,,,
Netherlands,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,1058.8,,,,,
Netherlands,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,1718.2,,,,,
Netherlands,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,931.8,,,,,
Netherlands,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,835,,,,,
Netherlands,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,1868.6,,,,,
Netherlands,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,727.7,,,,,
Netherlands,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,179.6,,,,,
New Zealand,Total (Sex),Total (Hour bands),LFS - Household Labour Force Survey ,,2357,,,,,
New Zealand,Total (Sex),No hours actually worked (Hour bands),LFS - Household Labour Force Survey ,,195.1,,,,,
New Zealand,Total (Sex),01-14 (Hour bands),LFS - Household Labour Force Survey ,,201,,,,,
New Zealand,Total (Sex),15-29 (Hour bands),LFS - Household Labour Force Survey ,,321.3,,,,,
New Zealand,Total (Sex),30-34 (Hour bands),LFS - Household Labour Force Survey ,,204.4,,,,,
New Zealand,Total (Sex),35-39 (Hour bands),LFS - Household Labour Force Survey ,,162.4,,,,,
New Zealand,Total (Sex),40-48 (Hour bands),LFS - Household Labour Force Survey ,,922.1,,,,,
New Zealand,Total (Sex),49+ (Hour bands),LFS - Household Labour Force Survey ,,336,,,,,
New Zealand,Total (Sex),Not elsewhere classified (Hour bands),LFS - Household Labour Force Survey ,,14.7,,,,,
Norway,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,2641,,,,,
Norway,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,442.4,,,,,
Norway,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,203.1,,,,,
Norway,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,396.2,,,,,
Norway,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,236.8,,,,,
Norway,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,759.5,,,,,
Norway,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,401.1,,,,,
Norway,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,155.4,,,,,
Norway,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,46.5,,,,,
Occupied Palestinian Territory,Total (Sex),Total (Hour bands),LFS - Palestinian labour force survey,,962.6,,,,,
Occupied Palestinian Territory,Total (Sex),No hours actually worked (Hour bands),LFS - Palestinian labour force survey,,85,,,,,
Occupied Palestinian Territory,Total (Sex),01-14 (Hour bands),LFS - Palestinian labour force survey,,59.2,,,,,
Occupied Palestinian Territory,Total (Sex),15-29 (Hour bands),LFS - Palestinian labour force survey,,100.2,,,,,
Occupied Palestinian Territory,Total (Sex),30-34 (Hour bands),LFS - Palestinian labour force survey,,69.3,,,,,
Occupied Palestinian Territory,Total (Sex),35-39 (Hour bands),LFS - Palestinian labour force survey,,144.4,,,,,
Occupied Palestinian Territory,Total (Sex),40-48 (Hour bands),LFS - Palestinian labour force survey,,291.3,,,,,
Occupied Palestinian Territory,Total (Sex),49+ (Hour bands),LFS - Palestinian labour force survey,,213.1,,,,,
Paraguay,Total (Sex),Total (Hour bands),LFS - Encuesta Permanente de Hogares,,3306.1,,,,,
Paraguay,Total (Sex),01-14 (Hour bands),LFS - Encuesta Permanente de Hogares,,144.6,,,,,
Paraguay,Total (Sex),15-29 (Hour bands),LFS - Encuesta Permanente de Hogares,,466.5,,,,,
Paraguay,Total (Sex),30-34 (Hour bands),LFS - Encuesta Permanente de Hogares,,202.8,,,,,
Paraguay,Total (Sex),35-39 (Hour bands),LFS - Encuesta Permanente de Hogares,,179.3,,,,,
Paraguay,Total (Sex),40-48 (Hour bands),LFS - Encuesta Permanente de Hogares,,995,,,,,
Paraguay,Total (Sex),49+ (Hour bands),LFS - Encuesta Permanente de Hogares,,1305.3,,,,,
Paraguay,Total (Sex),Not elsewhere classified (Hour bands),LFS - Encuesta Permanente de Hogares,,12.7,,,,,
Philippines,Total (Sex),Total (Hour bands),LFS - Labor Force Survey,,38740.8,,,,,
Philippines,Total (Sex),No hours actually worked (Hour bands),LFS - Labor Force Survey,,461.4,,,,,
Philippines,Total (Sex),01-14 (Hour bands),LFS - Labor Force Survey,,3649.1,,,,,
Philippines,Total (Sex),15-29 (Hour bands),LFS - Labor Force Survey,,6159.1,,,,,
Philippines,Total (Sex),30-34 (Hour bands),LFS - Labor Force Survey,,2054.1,,,,,
Philippines,Total (Sex),35-39 (Hour bands),LFS - Labor Force Survey,,2009.7,,,,,
Philippines,Total (Sex),40-48 (Hour bands),LFS - Labor Force Survey,,16301.9,,,,,
Philippines,Total (Sex),49+ (Hour bands),LFS - Labor Force Survey,,8105.5,,,,,
Poland,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,16083.9,,,,,
Poland,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,965.1,,,,,
Poland,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,265.1,,,,,
Poland,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,1145.3,,,,,
Poland,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,1241.8,,,,,
Poland,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,359.3,,,,,
Poland,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,10191.9,,,,,
Poland,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,1915.5,,,,,
Portugal,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,4548.7,,,,,
Portugal,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,377.2,,,,,
Portugal,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,234.9,,,,,
Portugal,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,344.1,,,,,
Portugal,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,261.6,,,,,
Portugal,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,354.1,,,,,
Portugal,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,2267.4,,,,,
Portugal,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,489.1,,,,,
Portugal,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,220.3,,,,,
Qatar,Total (Sex),Total (Hour bands),LFS - Labor force sample survey,,1947,,,,,
Qatar,Total (Sex),15-29 (Hour bands),LFS - Labor force sample survey,,0.8,,,,,
Qatar,Total (Sex),30-34 (Hour bands),LFS - Labor force sample survey,,2.1,,,,,
Qatar,Total (Sex),35-39 (Hour bands),LFS - Labor force sample survey,,62.4,,,,,
Qatar,Total (Sex),40-48 (Hour bands),LFS - Labor force sample survey,,1244.8,,,,,
Qatar,Total (Sex),49+ (Hour bands),LFS - Labor force sample survey,,636.9,,,,,
Romania,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,8535.4,,,,,
Romania,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,122.4,,,,,
Romania,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,81.5,,,,,
Romania,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,748.2,,,,,
Romania,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,461.4,,,,,
Romania,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,215.1,,,,,
Romania,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,6551.4,,,,,
Romania,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,355.4,,,,,
Russian Federation,Total (Sex),Total (Hour bands),LFS - Population survey on employment problems,,72323.6,,,,,
Russian Federation,Total (Sex),No hours actually worked (Hour bands),LFS - Population survey on employment problems,,2305.8,,,,,
Russian Federation,Total (Sex),01-14 (Hour bands),LFS - Population survey on employment problems,,915.9,,,,,
Russian Federation,Total (Sex),15-29 (Hour bands),LFS - Population survey on employment problems,,2187.6,,,,,
Russian Federation,Total (Sex),30-34 (Hour bands),LFS - Population survey on employment problems,,1042.9,,,,,
Russian Federation,Total (Sex),35-39 (Hour bands),LFS - Population survey on employment problems,,6754.3,,,,,
Russian Federation,Total (Sex),40-48 (Hour bands),LFS - Population survey on employment problems,,56949.3,,,,,
Russian Federation,Total (Sex),49+ (Hour bands),LFS - Population survey on employment problems,,2167.8,,,,,
Serbia,Total (Sex),Total (Hour bands),LFS - Labour force survey,,2574.2,,,,,
Serbia,Total (Sex),No hours actually worked (Hour bands),LFS - Labour force survey,,174.6,,,,,
Serbia,Total (Sex),01-14 (Hour bands),LFS - Labour force survey,,100.9,,,,,
Serbia,Total (Sex),15-29 (Hour bands),LFS - Labour force survey,,190.6,,,,,
Serbia,Total (Sex),30-34 (Hour bands),LFS - Labour force survey,,129.9,,,,,
Serbia,Total (Sex),35-39 (Hour bands),LFS - Labour force survey,,74.6,,,,,
Serbia,Total (Sex),40-48 (Hour bands),LFS - Labour force survey,,1417.8,,,,,
Serbia,Total (Sex),49+ (Hour bands),LFS - Labour force survey,,485.8,,,,,
Serbia,Total (Sex),Not elsewhere classified (Hour bands),LFS - Labour force survey,,0,,,,,
Slovakia,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,2424,,,,,
Slovakia,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,164.7,,,,,
Slovakia,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,35.1,,,,,
Slovakia,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,180.6,,,,,
Slovakia,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,210.7,,,,,
Slovakia,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,293.9,,,,,
Slovakia,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,1289.3,,,,,
Slovakia,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,249.7,,,,,
Slovenia,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,917.4,,,,,
Slovenia,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,103.8,,,,,
Slovenia,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,29.2,,,,,
Slovenia,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,82.7,,,,,
Slovenia,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,41.5,,,,,
Slovenia,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,11.5,,,,,
Slovenia,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,557.6,,,,,
Slovenia,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,91.2,,,,,
Spain,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,17866,,,,,
Spain,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,1375.9,,,,,
Spain,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,709.1,,,,,
Spain,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,2120,,,,,
Spain,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,1246.3,,,,,
Spain,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,2334.6,,,,,
Spain,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,7498.7,,,,,
Spain,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,1713.6,,,,,
Spain,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,867.8,,,,,
Sweden,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,4836.8,,,,,
Sweden,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,788.2,,,,,
Sweden,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,292.5,,,,,
Sweden,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,718.8,,,,,
Sweden,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,537.2,,,,,
Sweden,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,431.4,,,,,
Sweden,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,1716.7,,,,,
Sweden,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,352.1,,,,,
Switzerland,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,4600.1,,,,,
Switzerland,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,605.5,,,,,
Switzerland,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,416.6,,,,,
Switzerland,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,671.7,,,,,
Switzerland,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,332.1,,,,,
Switzerland,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,261.5,,,,,
Switzerland,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,1601.6,,,,,
Switzerland,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,599.8,,,,,
Switzerland,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,111.3,,,,,
Turkey,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,26618.5,,,,,
Turkey,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,959.7,,,,,
Turkey,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,1159.3,,,,,
Turkey,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,2405.5,,,,,
Turkey,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,1123.7,,,,,
Turkey,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,1190.1,,,,,
Turkey,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,10004.8,,,,,
Turkey,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,9775.4,,,,,
Ukraine,Total (Sex),Total (Hour bands),LFS - Sample survey of the population (households) on economic activity,,16443.2,,,,,
Ukraine,Total (Sex),No hours actually worked (Hour bands),LFS - Sample survey of the population (households) on economic activity,,483.4,,,,,
Ukraine,Total (Sex),01-14 (Hour bands),LFS - Sample survey of the population (households) on economic activity,,114.6,,,,,
Ukraine,Total (Sex),15-29 (Hour bands),LFS - Sample survey of the population (households) on economic activity,,1007.2,,,,,
Ukraine,Total (Sex),30-34 (Hour bands),LFS - Sample survey of the population (households) on economic activity,,701.8,,,,,
Ukraine,Total (Sex),35-39 (Hour bands),LFS - Sample survey of the population (households) on economic activity,,570,,,,,
Ukraine,Total (Sex),40-48 (Hour bands),LFS - Sample survey of the population (households) on economic activity,,12872.1,,,,,
Ukraine,Total (Sex),49+ (Hour bands),LFS - Sample survey of the population (households) on economic activity,,694.1,,,,,
United Kingdom,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,31105.1,,,,,
United Kingdom,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,3503.2,,,,,
United Kingdom,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,2145.9,,,,,
United Kingdom,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,5221.3,,,,,
United Kingdom,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,2293.5,,,,,
United Kingdom,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,5840.5,,,,,
